REF_DATE,GEO,DGUID,Immigrant status,Labour force characteristics,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Labour force,15 years and over,Persons,249,thousands,3,v53037478,1.4.2.1,573.8,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Labour force,25 to 54 years,Persons,249,thousands,3,v53037479,1.4.2.2,459.9,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Employment,15 years and over,Persons,249,thousands,3,v53037480,1.4.3.1,523.4,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Employment,25 to 54 years,Persons,249,thousands,3,v53037481,1.4.3.2,426.4,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Full-time employment,15 years and over,Persons,249,thousands,3,v53037482,1.4.4.1,442.5,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Full-time employment,25 to 54 years,Persons,249,thousands,3,v53037483,1.4.4.2,382,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Part-time employment,15 years and over,Persons,249,thousands,3,v53037484,1.4.5.1,80.8,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Part-time employment,25 to 54 years,Persons,249,thousands,3,v53037485,1.4.5.2,44.4,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Unemployment,15 years and over,Persons,249,thousands,3,v53037486,1.4.6.1,50.4,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Unemployment,25 to 54 years,Persons,249,thousands,3,v53037487,1.4.6.2,33.5,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Not in labour force,15 years and over,Persons,249,thousands,3,v53037488,1.4.7.1,229.2,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Not in labour force,25 to 54 years,Persons,249,thousands,3,v53037489,1.4.7.2,104,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Unemployment rate,15 years and over,Percentage,242,units ,0,v53037490,1.4.8.1,8.8,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53037491,1.4.8.2,7.3,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Participation rate,15 years and over,Percentage,242,units ,0,v53037492,1.4.9.1,71.5,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Participation rate,25 to 54 years,Percentage,242,units ,0,v53037493,1.4.9.2,81.6,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Employment rate,15 years and over,Percentage,242,units ,0,v53037494,1.4.10.1,65.2,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 5 to 10 years earlier",Employment rate,25 to 54 years,Percentage,242,units ,0,v53037495,1.4.10.2,75.6,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Population,15 years and over,Persons,249,thousands,3,v53037496,1.5.1.1,4139.1,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Population,25 to 54 years,Persons,249,thousands,3,v53037497,1.5.1.2,1933.2,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Labour force,15 years and over,Persons,249,thousands,3,v53037498,1.5.2.1,2449.5,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Labour force,25 to 54 years,Persons,249,thousands,3,v53037499,1.5.2.2,1669.8,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Employment,15 years and over,Persons,249,thousands,3,v53037500,1.5.3.1,2317.5,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Employment,25 to 54 years,Persons,249,thousands,3,v53037501,1.5.3.2,1585.4,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Full-time employment,15 years and over,Persons,249,thousands,3,v53037502,1.5.4.1,1962.9,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Full-time employment,25 to 54 years,Persons,249,thousands,3,v53037503,1.5.4.2,1411.9,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Part-time employment,15 years and over,Persons,249,thousands,3,v53037504,1.5.5.1,354.6,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Part-time employment,25 to 54 years,Persons,249,thousands,3,v53037505,1.5.5.2,173.6,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Unemployment,15 years and over,Persons,249,thousands,3,v53037506,1.5.6.1,132,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Unemployment,25 to 54 years,Persons,249,thousands,3,v53037507,1.5.6.2,84.4,,,,1
